SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658533377.9560213, 1, 311, 
1658533377.958377, 0, 317, 
1658533377.9607882, 1, 317, 
1658533377.9632854, 1, 317, 
1658533377.9656258, 1, 317, 
1658533377.9682117, 2, 317, 
1658533377.970537, 1, 316, 
1658533377.972862, 1, 316, 
1658533377.98001, 1, 317, 
1658533377.9824853, 1, 316, 
1658533377.9848173, 1, 316, 
1658533377.987127, 0, 315, 
1658533377.989574, 1, 317, 
1658533377.9922163, 1, 317, 
1658533377.9945385, 0, 317, 
1658533377.9968472, 0, 316, 
1658533377.9992025, 1, 313, 
1658533378.0015106, 0, 317, 
1658533378.0087278, 0, 317, 
1658533378.0111666, 0, 316, 
1658533378.013942, 1, 317, 
1658533378.0163648, 0, 315, 
1658533378.0188062, 1, 313, 
1658533378.024745, 1, 316, 
1658533378.0280447, 1, 317, 
1658533378.0304537, 0, 317, 
1658533378.0327814, 1, 317, 
1658533378.0350902, 1, 317, 
1658533378.0459554, 1, 317, 
1658533378.0483775, 0, 316, 
1658533378.050709, 1, 317, 
1658533378.053019, 1, 316, 
1658533378.055918, 1, 316, 
1658533378.058322, 1, 317, 
1658533378.0606472, 1, 317, 
1658533378.063007, 1, 313, 
1658533378.0653176, 1, 316, 
1658533378.0676475, 1, 317, 
1658533378.0748174, 1, 317, 
1658533378.0774608, 0, 317, 
1658533378.0800982, 1, 317, 
1658533378.0824797, 1, 316, 
1658533378.0848386, 1, 317, 
1658533378.0871685, 0, 316, 
1658533378.0895255, 0, 317, 
1658533378.0918584, 1, 316, 
1658533378.0942106, 1, 317, 
1658533378.0965366, 0, 316, 
1658533378.105057, 1, 312, 
1658533378.1074667, 0, 317, 
1658533378.1098385, 2, 317, 
1658533378.112181, 1, 316, 
1658533378.1145656, 1, 317, 
1658533378.1168997, 1, 316, 
1658533378.1192865, 1, 317, 
1658533378.121665, 1, 317, 
1658533378.1239865, 1, 316, 
1658533378.1264439, 1, 317, 
1658533378.1342397, 2, 316, 
1658533378.136748, 1, 315, 
1658533378.1392267, 1, 317, 
1658533378.1415634, 1, 317, 
1658533378.1440508, 1, 315, 
1658533378.1470485, 1, 316, 
1658533378.1496453, 1, 317, 
1658533378.1524448, 0, 317, 
1658533378.155126, 1, 317, 
1658533378.157799, 1, 316, 
1658533378.169363, 2, 317, 
1658533378.1718218, 1, 317, 
1658533378.1741834, 1, 317, 
1658533378.1765535, 1, 317, 
1658533378.1789587, 0, 317, 
1658533378.1813152, 1, 318, 
1658533378.1836724, 1, 317, 
1658533378.1860168, 1, 317, 
1658533378.1890047, 0, 317, 
1658533378.191602, 0, 317, 
1658533378.2009907, 1, 317, 
1658533378.20344, 2, 317, 
1658533378.205798, 1, 315, 
1658533378.2081451, 1, 317, 
1658533378.2104862, 0, 316, 
1658533378.213384, 0, 317, 
1658533378.2160206, 1, 317, 
1658533378.2183838, 0, 317, 
1658533378.220784, 1, 317, 
1658533378.2231202, 1, 317, 
1658533378.2303789, 2, 317, 
1658533378.2328024, 0, 317, 
1658533378.2352684, 0, 316, 
1658533378.2378852, 1, 317, 
1658533378.2402794, 1, 316, 
1658533378.2426488, 1, 317, 
1658533378.24503, 1, 318, 
1658533378.2473867, 0, 318, 
1658533378.2498238, 1, 315, 
1658533378.2558436, 1, 317, 
1658533378.2634568, 0, 316, 
1658533378.2659163, 1, 316, 
1658533378.2682164, 1, 317, 
1658533378.2708964, 1, 317, 
1658533378.2734473, 2, 317, 
1658533378.275996, 1, 317, 
1658533378.2785397, 1, 317, 
1658533378.281459, 2, 317, 
1658533378.2840104, 0, 317, 
1658533378.286571, 2, 317, 
1658533378.2985797, 1, 317, 
1658533378.3012462, 0, 317, 
1658533378.3042204, 1, 317, 
1658533378.3068514, 1, 317, 
1658533378.30944, 2, 316, 
1658533378.3119812, 1, 317, 
1658533378.3145175, 1, 316, 
1658533378.317066, 1, 318, 
1658533378.3197243, 1, 317, 
1658533378.3222694, 0, 317, 
1658533378.3322577, 1, 316, 
1658533378.3385065, 1, 317, 
1658533378.3420844, 1, 317, 
1658533378.3446648, 1, 317, 
1658533378.347208, 1, 318, 
1658533378.34981, 1, 317, 
1658533378.3523512, 1, 318, 
1658533378.3548958, 0, 317, 
1658533378.357691, 1, 316, 
1658533378.362975, 1, 317, 
1658533378.3708465, 1, 317, 
1658533378.373517, 1, 317, 
1658533378.37606, 1, 317, 
1658533378.3786526, 2, 317, 
1658533378.3811953, 1, 318, 
1658533378.3837447, 0, 317, 
1658533378.3862855, 1, 317, 
1658533378.3890474, 1, 317, 
1658533378.392124, 0, 317, 
1658533378.3946733, 0, 317, 
1658533378.402452, 1, 317, 
1658533378.405149, 1, 317, 
1658533378.4077067, 0, 317, 
1658533378.41025, 1, 317, 
1658533378.4127882, 1, 318, 
1658533378.4158397, 1, 317, 
1658533378.4183931, 0, 317, 
1658533378.4209356, 1, 317, 
1658533378.423481, 0, 317, 
1658533378.4260178, 1, 317, 
1658533378.4333644, 2, 317, 
1658533378.4360342, 0, 316, 
1658533378.4391987, 1, 318, 
1658533378.441754, 1, 317, 
1658533378.4442954, 0, 317, 
1658533378.4468427, 1, 317, 
1658533378.449477, 0, 317, 
1658533378.4520206, 1, 317, 
1658533378.4545622, 1, 318, 
1658533378.457109, 0, 317, 
1658533378.4650886, 1, 316, 
1658533378.468436, 1, 316, 
1658533378.476039, 1, 317, 
1658533378.479067, 1, 317, 
1658533378.4816194, 1, 317, 
1658533378.4841683, 1, 317, 
1658533378.4867182, 1, 317, 
1658533378.489289, 1, 318, 
1658533378.491827, 1, 317, 
1658533378.4943733, 0, 317, 
1658533378.5060713, 1, 317, 
1658533378.5087745, 1, 317, 
1658533378.511348, 1, 317, 
1658533378.5139544, 1, 316, 
1658533378.516498, 1, 317, 
1658533378.519108, 1, 317, 
1658533378.5216875, 1, 317, 
1658533378.5246613, 0, 317, 
1658533378.527518, 1, 318, 
1658533378.5301113, 1, 317, 
1658533378.537417, 1, 317, 
1658533378.5401351, 0, 317, 
1658533378.542697, 1, 317, 
1658533378.5452385, 1, 317, 
1658533378.5481226, 1, 317, 
1658533378.5513442, 1, 317, 
1658533378.553893, 1, 317, 
1658533378.556429, 2, 318, 
1658533378.5590339, 0, 317, 
1658533378.5615716, 0, 318, 
1658533378.5690303, 1, 317, 
1658533378.5716984, 1, 317, 
1658533378.5750563, 1, 316, 
1658533378.5794404, 1, 317, 
1658533378.5823545, 1, 317, 
1658533378.5849853, 1, 317, 
1658533378.5876217, 1, 317, 
1658533378.590393, 0, 316, 
1658533378.5931551, 0, 317, 
1658533378.5958555, 1, 317, 
1658533378.603691, 1, 316, 
1658533378.6063592, 0, 317, 
1658533378.6090624, 0, 317, 
1658533378.6117792, 0, 316, 
1658533378.6144552, 2, 317, 
1658533378.6173766, 0, 316, 
1658533378.619966, 1, 317, 
1658533378.6225545, 1, 318, 
1658533378.6250885, 1, 317, 
1658533378.6276333, 0, 317, 
1658533378.6349502, 1, 317, 
1658533378.6378129, 1, 317, 
1658533378.6407754, 1, 317, 
1658533378.6435337, 0, 316, 
1658533378.649776, 1, 317, 
1658533378.6535325, 1, 317, 
1658533378.6561353, 1, 317, 
1658533378.6587496, 0, 317, 
1658533378.661344, 1, 317, 
1658533378.663883, 0, 317, 
1658533378.6734874, 1, 317, 
1658533378.6763349, 1, 317, 
1658533378.6796262, 1, 316, 
1658533378.685248, 1, 315, 
1658533378.6881306, 1, 317, 
1658533378.6907122, 1, 317, 
1658533378.6933055, 1, 317, 
1658533378.6958807, 1, 317, 
1658533378.698462, 3, 317, 
1658533378.7016737, 0, 317, 
1658533378.7096686, 1, 317, 
1658533378.712393, 0, 317, 
1658533378.7149727, 1, 317, 
1658533378.717575, 1, 317, 
1658533378.720152, 1, 317, 
1658533378.722754, 1, 317, 
1658533378.7257872, 0, 317, 
1658533378.728361, 0, 317, 
1658533378.7309077, 1, 317, 
1658533378.733456, 3, 317, 
1658533378.7407167, 0, 317, 
1658533378.743398, 0, 317, 
1658533378.7459462, 1, 317, 
1658533378.7486608, 1, 317, 
1658533378.7517304, 1, 317, 
1658533378.75428, 1, 316, 
1658533378.7568202, 0, 317, 
1658533378.759407, 0, 317, 
1658533378.761942, 0, 317, 
1658533378.7644782, 3, 317, 
1658533378.7721276, 1, 317, 
1658533378.77509, 1, 316, 
1658533378.7777894, 0, 317, 
1658533378.7832043, 1, 318, 
1658533378.7875912, 1, 316, 
1658533378.7937498, 1, 317, 
1658533378.7963054, 1, 317, 
1658533378.798891, 1, 317, 
1658533378.8014326, 1, 316, 
1658533378.8039813, 1, 317, 
1658533378.811436, 0, 317, 
1658533378.8145769, 1, 317, 
1658533378.8172326, 1, 317, 
1658533378.8198347, 1, 317, 
1658533378.8224156, 0, 317, 
1658533378.8249946, 1, 317, 
1658533378.8275776, 1, 317, 
1658533378.8301206, 1, 317, 
1658533378.8326666, 1, 317, 
1658533378.8352065, 1, 318, 
1658533378.8431406, 1, 317, 
1658533378.8458433, 1, 317, 
1658533378.8483894, 0, 317, 
1658533378.850931, 1, 317, 
1658533378.853464, 2, 317, 
1658533378.8560026, 0, 317, 
1658533378.8585413, 0, 317, 
1658533378.8610806, 1, 317, 
1658533378.8640912, 1, 317, 
1658533378.866634, 0, 317, 
1658533378.8761652, 1, 317, 
1658533378.8788831, 1, 317, 
1658533378.8814332, 2, 317, 
1658533378.8840597, 1, 317, 
1658533378.8870478, 0, 316, 
1658533378.8896685, 0, 317, 
1658533378.8922336, 1, 315, 
1658533378.8959064, 0, 316, 
