SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, RTC, 
1654657792.572271, 22.6615234375, 27.897659985964857, 858.300821023659, 0.37, -0.17, 10.10, 0.02, 0.01, -0.00, 859.167516811486, 3:9:49, 
1654657792.6404142, 22.6666015625, 27.792016449312325, 858.3281745397361, 0.37, -0.17, 10.10, 0.02, 0.01, -0.00, 859.0614378689256, 3:9:49, 
1654657792.7088637, 22.6666015625, 27.83081357196674, 858.300821023659, 0.37, -0.17, 10.10, 0.02, 0.02, 0.00, 859.1287325007678, 3:9:49, 
1654657792.7775347, 22.6666015625, 27.958697457963073, 858.2534236530497, 0.37, -0.17, 10.10, 0.02, 0.02, 0.01, 859.1024054024326, 3:9:49, 
1654657792.8458235, 22.6615234375, 28.047657356865724, 858.300821023659, 0.37, -0.17, 10.10, 0.02, 0.01, 0.00, 859.1387496406222, 3:9:49, 
1654657792.9140995, 22.6564453125, 27.730852918714827, 858.2187605869684, 0.37, -0.17, 10.10, 0.01, 0.01, 0.00, 859.1146057650758, 3:9:49, 
1654657792.9821658, 22.6666015625, 27.94201722074775, 858.2880872084766, 0.37, -0.17, 10.10, 0.02, 0.02, 0.00, 859.0672169880723, 3:9:49, 
1654657793.0573237, 22.6666015625, 27.875295462925166, 858.3555280744033, 0.37, -0.17, 10.10, 0.02, 0.01, 0.00, 859.0710697341702, 3:9:49, 
1654657793.125269, 22.6564453125, 27.71948048557997, 858.3354848106611, 0.37, -0.17, 10.10, 0.01, 0.01, 0.00, 859.1943576093008, 3:9:49, 
1654657793.1933699, 22.6666015625, 28.030977551096424, 858.3628385670459, 0.37, -0.17, 10.10, 0.01, 0.01, 0.00, 859.0171312888006, 3:9:50, 
1654657793.261701, 22.6666015625, 27.797201865755177, 858.3628385670459, 0.37, -0.17, 10.10, 0.02, 0.01, -0.00, 859.1467119825577, 3:9:50, 
1654657793.3300934, 22.6615234375, 27.975377614282266, 858.3281745397361, 0.37, -0.17, 10.10, 0.01, 0.01, 0.00, 859.1302735992069, 3:9:50, 
1654657793.3981164, 22.6767578125, 27.953014221612467, 858.3354848106611, 0.37, -0.17, 10.10, 0.02, 0.02, 0.01, 859.0940577858873, 3:9:50, 
1654657793.4666371, 22.6666015625, 28.03109981537664, 858.308131072867, 0.37, -0.17, 10.10, 0.02, 0.01, 0.00, 859.0991947806845, 3:9:50, 
1654657793.534796, 22.6767578125, 27.836249335596662, 858.308131072867, 0.45, -0.21, 10.06, 0.02, 0.01, 0.00, 859.1447856095087, 3:9:50, 
1654657793.6031199, 22.6666015625, 27.953014221612467, 858.246114047275, 0.45, -0.21, 10.06, 0.03, 0.01, 0.01, 859.1156331640352, 3:9:50, 
1654657793.6716645, 22.6615234375, 27.997495040266784, 858.2534236530497, 0.45, -0.21, 10.06, 0.02, 0.01, 0.00, 859.1277051018084, 3:9:50, 
1654657793.754535, 22.6716796875, 27.964257519057927, 858.3701490870118, 0.45, -0.21, 10.06, 0.03, 0.01, 0.01, 859.1328420966055, 3:9:50, 
1654657793.8229043, 22.6666015625, 27.78620602812023, 858.3281745397361, 0.45, -0.21, 10.06, 0.01, 0.01, 0.00, 859.1225681070113, 3:9:50, 
