SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, RTC, 
1654877317.0833132, 0, 23.983203125, 34.62853104266508, 859.9652145500252, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.01, 0.00, -0.00, 860.6897367947396, 860.4281949637062, 25.328697776794435, 16:8:33, 
1654877317.157296, 0, 23.983203125, 34.26117470508627, 860.00512473607, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.02, 0.01, -0.00, 860.5622108989014, 860.4557120488188, 25.346115379333497, 16:8:33, 
1654877317.2311578, 0, 23.98828125, 34.68408861259823, 860.00512473607, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.01, 0.01, -0.00, 860.7298053541571, 860.4557120488188, 25.346115379333497, 16:8:33, 
1654877317.3051074, 0, 23.98828125, 34.283439846725834, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.02, 0.01, 0.00, 860.7945314886007, 860.3308825859776, 25.328697776794435, 16:8:33, 
1654877317.3788114, 0, 23.983203125, 34.372446829219236, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.02, 0.01, 0.01, 860.7050193542611, 860.4281949637062, 25.328697776794435, 16:8:34, 
1654877317.46416, 0, 23.98828125, 34.4838196114031, 860.012440254321, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.01, 0.00, -0.00, 860.6120397484334, 860.4557120488188, 25.346115379333497, 16:8:34, 
1654877317.5440354, 0, 23.983203125, 34.53381018314155, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.02, 0.02, 0.00, 860.6515946083712, 860.4557120488188, 25.346115379333497, 16:8:34, 
1654877317.6182978, 0, 23.983203125, 34.28333148568956, 860.0200371670649, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.02, 0.01, 0.01, 860.8429476645636, 860.4281949637062, 25.328697776794435, 16:8:34, 
1654877317.6923249, 0, 23.98828125, 34.316837287931904, 860.0325356204053, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.01, 0.01, 0.00, 860.7599851985901, 860.4557120488188, 25.346115379333497, 16:8:34, 
1654877317.7663836, 0, 23.9935546875, 34.31678451578259, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.03, 0.01, 0.01, 860.7273652816285, 860.3583962384588, 25.346115379333497, 16:8:34, 
1654877317.8403444, 0, 23.9935546875, 34.38357918340278, 859.9777138704013, -, -, -, -, -, -, -, -, -, -, 0.34, -0.22, 10.06, 0.01, 0.00, 0.00, 860.7589577996307, 860.3583962384588, 25.346115379333497, 16:8:34, 
1654877317.9187105, 0, 23.978125, 34.38357918340278, 859.9926258492113, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, -0.00, 860.7149080692454, 860.4557120488188, 25.346115379333497, 16:8:34, 
1654877317.9983451, 1, 23.983203125, 34.37806508473695, 860.0474485035854, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, 0.00, 860.7508670328252, 860.4281949637062, 25.328697776794435, 16:8:34, 
1654877318.075525, 1, 23.983203125, 34.517316043562936, 860.0672624853115, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, 0.00, 860.6747110849582, 860.3308825859776, 25.328697776794435, 16:8:34, 
