SystemTime, ADC 1 (Vibration), ADC 2, ADC 3, ADC 4, ADC 5, ADC 6, ADC 7, ADC 8, 
1657907645.4209826, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4235198, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4260092, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.42859, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.431092, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4335916, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.437198, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.4460025, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.4509165, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4534225, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.455893, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4583988, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4608724, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.463389, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.465812, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4683852, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.470843, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.479461, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4822037, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.484684, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4872332, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4896939, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4922476, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4947174, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4980373, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5007439, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.503207, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5122952, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5149343, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5174363, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5198915, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5228546, 0, 1, 3, 0, 0, 0, 0, 0, 
1657907645.5253484, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5277877, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5302284, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5325115, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5349462, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5419676, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.544399, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5475698, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.5500274, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5527573, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5554576, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5582702, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5612092, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5639193, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5666544, 0, 1, 3, 0, 0, 0, 0, 0, 
1657907645.5743666, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.5767667, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5790854, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5815563, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5847824, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5872374, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5895555, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.592001, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.594327, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.5966558, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6035106, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.605932, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.609056, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.6122582, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6179388, 0, 1, 4, 0, 0, 0, 0, 0, 
1657907645.6211226, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6251502, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.62732, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6294386, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6316452, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6382344, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6404603, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6425545, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6446648, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6469922, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6497118, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.65182, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6539648, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6561105, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6582475, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6651402, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6673498, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6694756, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6719902, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.6741972, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.6763115, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6784582, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6805677, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6826885, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6848183, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6916833, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6938992, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6965806, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.6987808, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7008832, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7030637, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7051775, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7072742, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7093794, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7114675, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.722911, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7258513, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7281659, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7302682, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7323859, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7344756, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7366834, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.738812, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.741179, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7449214, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7540839, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.75747, 1, 1, 5, 0, 0, 0, 0, 0, 
1657907645.759596, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7617476, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7638497, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7659523, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.76812, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.770261, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7723575, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7744787, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.782549, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.784763, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7869709, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.789094, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7912025, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7933352, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7954683, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7977014, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.7998157, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8021088, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.809408, 1, 1, 1, 0, 0, 0, 0, 0, 
1657907645.8116326, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8137298, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.815955, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.81811, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8202186, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8223176, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8244147, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8270614, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.8292832, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.8359883, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8382442, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8403301, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8424385, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8446343, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.8500054, 0, 1, 0, 0, 0, 0, 0, 0, 
